区域,北京,餐饮类型,火锅,店铺id,1816984255,店铺名称,巴渝老灶重庆火锅,经度,116.15033,纬度,39.804535
用户,星级,评论
韩雨暄的魅力生活,3.0,我只能说，味道很清淡，适合老人孩子吃，我感觉这里的环境不错，味道只能说一般般，没有美团上各位吃的男的好，而且好多东西不能用美团劵，让我白白浪费了好多东西，本来说吃东西我们几个人就几百块钱，结果一下花了300多，这不让用那不让用，哎……不让用你早说呀，现在吃完了这么说，不是百搭了……
kJP791165266,5.0,经常来
余小鱼不吃鱼,5.0,有小零食，菜量很足，我们五个人吃的四人券也很撑。最后还送了小冰棍儿，很好吃。
匿名用户,5.0,味道棒棒哒！很喜欢，服务态度很好，给小孩找餐椅，给小孩送玩具，给送鸡蛋糕的，都不好意思啦！谢谢啦！谢谢薛大姐的服务！
匿名用户,5.0,非常好吃 来过好几次了呢 03阿姨态度超级棒棒 人超好哟 还会再来 两个人吃不完
匿名用户,2.0,总体一般吧，菜品分量偏少，装修环境一般，锅底味道一般
笨兔928,5.0,双人套餐三个人吃得饱饱的，饮料免费，小吃吃免费，还送了一盘蔬菜，服务员阿姨态度好，跟亲戚的。
zIM444672933,4.0,非常棒，服务，环境都没得说 #极品羊肉# #秘制酸梅汤# #鲜牛羊组合#
Stq615139709,4.0,3号阿姨的服务很周到，很贴心。饭后还送了水果和小布丁，点赞
JdU829509727,5.0,来过好几次了，这次是哥们过生日来的，吃的一如既往的爽，这次的服务真是让人惊喜，尤其是03号阿姨，老是从细微的地方给我们小惊喜。以后还会多多光顾的
RRU631938776,5.0,特别好吃，东西超多根本吃不完，三号阿姨报菜名也是很可爱了，喜欢😍
SeanJJT,5.0,相当赞👍我买的是四人套餐，六个人去吃（三男三女），没吃完，量相当够
hCQ655286753,1.0,美团的，一想也不会给什么新鲜的肉和菜，肉肥的都不能吃，菜也一般，关键是，我和男票，吃完之后就嗓子痛，还拉肚子，我们吃的都是番茄锅，22号吃的，今天26号，嗓子还是沙哑的，好难受
aaa266,5.0,性价比超级高，服务员态度也没的说，味道好，强烈推荐
Pzs509299787,5.0,环境不错，管理好，服务态度也很好！这是第四次来这里了，菜品味道好，齐全！推荐一下！
路人793,5.0,03号服务阿姨，非常热情，还送了我们西瓜，小布丁。必须再来。对了，装修非常讲究，老北京特色
cwq820401,5.0,03服务态度很好，菜便宜
汉堡王有蟹黄堡了,5.0,啊真的很好吃啊在北京也不算贵，等位的人很多但值得一等！有机会还会再去的肉类品质非常好小铜锅吃着非常有感觉菜品也很赞 #羊肉# #虾滑# #沙葱羊肉#
匿名用户,5.0,"两人份完全够吃，吃的超级撑。送了沙拉和冰淇淋。0031阿姨人超好"
侯吃货,5.0,满意满意  小料一般吃完还有雪糕吃
LxJ580735931,5.0,感动哭了，服务特别好！特别是一个姓马的阿姨，一直笑呵呵地帮忙，最后还送了果盘，特别贴心！
faye198299,5.0,相当的好吃，而且环境很有文化特色
匿名用户,5.0,菜品味道不错，服务热情，已经来很多次了，推荐给大家
我是阿衰pq,5.0,两人套餐分量挺足的，味道不错，服务很到位，免费饮料零食还送雪糕。
logyhyhyhy,5.0,03号服务员阿姨态度很好！点赞！
WFS622217017,5.0,0031服务超级好，菜品丰富，没来得及拍照就吃光掉啦，排队的人很多，超级火爆，阿姨特别特别好，一直很贴心，喜欢，推荐~
MRq418683665,4.0,挺好的……这是最低限度…………
叶落新西兰,5.0,环境复古优雅，服务员热情周到，两个人团的2人套餐分量十足而且品质好，特别是免费的凉茶酸梅汤实在是诚意满满。极力推荐！
slF274723411,4.0,菜味道不错，还有很多种免费果汁，就是没米饭
匿名用户,4.0,超值的一家涮肉馆，这里的菠萝汁真的很好喝。
KkK138075156,5.0,03阿姨超级热情！菜量很足最后撑得不行也没吃完。非常好吃
大哥奖状贴满墙,5.0,很棒，服务热情，吃的很开心
QJS335566259,5.0,工号0031的大姐，服务非常好！菜品也很不错推荐！
大梅哥哥,5.0,很不错，还有很多小惊喜
匿名用户,3.0,去过好几次了，总体感觉还是可以的
iZx263083855,2.0,环境很好👍但是饮品太差，整体口味一般
aao467425674,5.0,环境优雅，服务态度特别好，很周到，十分热情，点的两人份，量特别大，都没吃完，下次还会再来，满意！
Awe801135665,2.0,菜品一般，肉量太少了。菜品不新鲜了。
eYf138831650,5.0,场景很有feel 而且服务也超级好。味道也不输海底捞 强烈推荐。
JGb131378133,5.0,很好吃，服务和环境也很好0031
舟晓知,5.0,环境很好，装修有一定的风格。肉很新鲜很嫩，吃下来也很划算。最主要是服务态度特别好，尤其是给二楼建国门桌服务的来自四川泸州的阿姨，特别热情特别贴心。大堂经理也很好，走的时候提前就把寄存在柜台的行李拿到门口给我们，服务是真的好，请给他们加鸡腿～
LpW321091103,5.0,菜品好，价格低
xNC592941222,4.0,肉质好，服务到位，非常满意。
JasonMing666,5.0,上菜很快，分量足，装修讲究
cnP283634033,5.0,菜品分量很足，服务非常好，服务员马大姐特别热情，环境也不错
刘大财地主,5.0,还行，环境很好，中午人不是很多。 #羊肉# #肥牛#
匿名用户,5.0,013服务特别好，照顾小朋友很贴心，和蔼可亲，像在亲人在身边的感觉
zztwf,5.0,非常满意，菜品上乘，服务周到。 #精品羊肉# #烧饼# #精品肥牛# #蔬菜拼筐#
匿名用户,4.0,味道不错，服务态度也很好，最后还送了果盘
默默的小仙女,5.0,真的挺好的，服务周到
匿名用户,4.0,服务周到  菜品不错  两个女生吃美团二人餐真的很划算  自取的有饮料和零食 #精品羊肉#
sPB566925758,5.0,0031
匿名用户,5.0,四人套餐，五个人吃还有剩，03号大姐服务周到。
wde417387003,5.0,环境好，菜品也好，而且也够量，两个人点128的套餐吃到撑都吃不完。。。。服务员他态度很好，还给我们穿清宫装的衣服照相。。。
DSB221621453,5.0,013服务态度好，环境别致，食物精致!
背朝天的小蚂蚁,5.0,0031，服务很好，下次还会来
dream的夜空,5.0,真的超级棒，一人一个小铜锅，挺有意思，菜品味道也很不错，服务员很热情，也很耐心，即使我们是美团用户也会特别认真的给我们点菜，然后给建议，我那天过生日，宿舍一起来这儿吃饭的，三个服务员过来超级大声的唱了两首歌，还有服务员录像，还送了果然和面，还送了小吉祥物，很棒。
匿名用户,5.0,给我们服务的大姐特别好！贴心送来了抱枕！还送了一个凉菜！每次都特别贴心！感觉服务特别好！以后还会再来！
刘先生（加急）,3.0,有点贵都挺好，味道不错，服务也可以
,5.0,03号服务优秀
匿名用户,5.0,环境不错。服务很好。自助果汁一般。
HBm916513703,5.0,味道好，特别喜欢麻酱，分量特别足，4人餐5个人吃很剩不少，下次还会约朋友一起来。餐前忘拍照了😂😂😂
Wenbo19881230,5.0,福口居，味道卓绝，好吃不贵，马姨服务满意。
QZL829101556,4.0,东西还是不错的，服务也很好，上菜速度也比较快，总体很不错，下次还会再来
这一郑,4.0,非常棒，
叶海蓝烟,5.0,服务周到，价格实惠，性价比很高 #虾滑# #鱼滑# #长寿面# #涮羊肉# #面条# #精选羔羊肉# #羊肉毛肚# #龙利鱼片#
upn348869103,5.0,"味道不错，服务好，环境也好，吃饭的人也多！
【服务】👍"
lvr493390749,3.0,两个人一份套餐就够了。我俩不知道以为不够 又点了100多后来吃不完 浪费了好多 #虾滑#
yht20060202,4.0,口味很棒，服务很好，就是人太多有点吵
叶海蓝烟,5.0,菜品不错，送的凉菜爽口，服务到位 #羊肉# #肥牛# #虾滑# #撒尿牛丸# #长寿面# #宽粉# #丸子# #香辣锅# #面条#
moz976003230,5.0,菜不错，服务态度也很好，吃完还送冰激凌👍要是小料种类再多一点就更好啦。
馥郁漫天,5.0,菜品很丰盛，两个男生没吃完，不错。
匿名用户,5.0,特别满意
酸奶与兔子,5.0,餐品味道不错，质感很好，小食和饮料棒棒哒，态度热情周到，强烈表扬遇到的阿姨，嘴甜脚勤。
seacj,5.0,很好 服务很到位
格子君君君,5.0,自己去的 很棒啊 太好听了 小姐姐还送我了冰棍 嘻嘻嘻 #娃娃菜# #金针菇# #辣锅# #极 品 肥 牛# #鸭血#
匿名用户,5.0,好吃！分量超级足了！服务态度也很好！
GKZ362784145,2.0,菜品口味还不错，价格比较贵，！
弱水716617,3.0,酱料味道不错，手切羊肉拼盘好看味道也不错，环境还可以，免费小吃只有2样，再多点就好了，总得来说价格小贵
lbcaj,5.0,环境不错，服务也很好；小料自助；六种饮料免费自助；三个小姑娘一块去的，团了个两人餐，又点了其他的，没吃完～点菜过程中，态度很好～很暖心；还送了凉菜，味道不错。
rsd404498729,3.0,服务很好，味道也不错，以后还会去。
zj3098,5.0,服务超好，赶上海底捞了。菜量很大，菜品丰富，环境也不错，是吃涮肉的好地方。
张小磊747,5.0,013号大姐的服务真的太好了，像亲大姐一样，还送了一盘小凉菜，反复多次到到桌边问侯需求。叮嘱我们餐量够吃了，免得多点浪费，真的太亲切了，细节上没的说。太棒了。下次还来。
LL爬格子,5.0,超棒，服务好，赞
匿名用户,4.0,服务很好整体不错
phoenica0131,5.0,菜很多，量大。物美价廉，味道好，环境好
邹豆豆123,5.0,第二次来吃了，今天人不太多，等了10分钟就上桌了。没有因为是团购的就怠慢，服务员007小姐姐人特别好，服务很周到也很热情，真是棒棒哒，点赞！！
千里追风先,4.0,非常实惠的一家涮肉馆，有老北京的味道😊
看你半截莫毛,5.0,巨热情的服务，这次时间比较赶，下回再好好吃一次，特别推荐！！！
匿名用户,5.0,菜量充足，牛肉羊肉都非常棒，烧饼（甜口咸口，个人更喜欢咸口的）也好吃，蔬菜拼盘和五福临门菜品丰富。送了好吃的大拌菜，酸梅汤和凉茶都非常可口。013姐姐的服务热情周到，令人宾至如归。另外，饭后还送了小布丁。一定会下次再来。 #羊肉# #肥牛# #酸梅汤# #烧饼# #包心贡丸# #小布丁# #多种饮料畅享#
等待吃饭的林大妈,4.0,团的两人餐，量很足，吃到撑 还剩了两个烧饼，肉挺新鲜的，蔬菜拼盘种类齐全，总之就是满意满意！以后还会来～
古都热心1981,5.0,服务超级的好，我们当时想多点点羊肉，服务员大姐说吃吃再看。这个年龄比较大的服务员大姐对人特热情，建议猛烈点赞。
Amy8904,5.0,013大姐的服务很好，强烈👍。店员的整体素质很高，作为年轻人表示很敬佩。工作忙碌一天了，但是他们对待客户的态度很好，值得我们大多数企业去学习。
kLd956393780,5.0,在北三环能有这么经济实惠的北京老火锅，实属不易啊
Felix011,5.0,服务很好，大姐们都很好，菜品也不错，值得推荐…
VQm557291245,5.0,很好
十年桃夭,5.0,菜品味道很好，环境很干净，小料自取很方便，007号服务员服务非常好，辣锅很辣，喜欢吃宽粉，拼盘种类很全呦。好吃~下回还来
Nuw676744676,4.0,品味独到，服务上乘，环境雅致，卫生干净
YbR601546444,5.0,特别好，每次外地朋友来北京来这吃
rebbccapy888,5.0,家门口的店，肉质好，蔬菜新鲜，调料也不错，经济实惠，服务还特别好，8号服务员在我们用餐期间一直很热心，餐毕后还送上了果盘和小布丁，非常感谢！
Wue518153287,5.0,服务态度很好
Vdo274235396,4.0,007服务员不错，态度很好，以客户为中心
wuangbiang,5.0,服务很到位，给提供围裙，味道也不错，北京最满意的一顿饭
jDS214510284,4.0,菜品齐全新鲜，新装修后环境很好，适合几个朋友小聚。服务员态度也不错，特别是007号服务员，热情周到，点赞！
开飞机的加菲,5.0,013号服务员阿姨态度真的太棒了，菜品也很满意，近期已经是第三次来这家了，环境也很好，当然最棒的还是服务！给十星好评才能表达我的感受＾3＾
宝宝不哭376,5.0,环境很好，很适合两个人去吃，味道也比较正宗，主要是服务特别好，尤其是007号服务员，很热情啊，值得推荐！
VoB455532236,3.0,调料太少了，还不好吃，就是肉还不错
oLV394314498,5.0,味道好，环境还行，18块钱一盘的肉也还阔以，要了个套餐加了盘肉两个大男人吃的饱饱的。下次和朋友聚餐还是要再来的，服务不错，007号服务员很热情
BJj624671819,5.0,整体环境很好非常适合聚餐，服务态度也特别好，过生日去的聚餐，还被送祝福送果盘长寿面，008服务员服务也非常周到，整体聚餐过程很愉快😄
hIe806336514,3.0,0031i号阿姨不错，但菜品之类的一般
gRc534511071,5.0,门口停车方便，开了十几年老店，口味十足还是和以前的味道一样，环境优雅，刚装修了，等位时间长了，商家还给送了菜，真心不错，是个好去处，
z554633808,5.0,口味很好，服务太好了＼(^▽^)／！真心不错。下次带家人还来这里
小小飞飞飞侠侠,4.0,很不错的哇！
硕果果1226,5.0,服务态度好 008小姐姐服务超赞…上菜很快 味道不错 下次还会再来😘 #羊羔肉# #酸梅汤# #精品羊肉#
匿名用户,3.0,还可以每次来北京都去吃还不错的
HVA592350245,5.0,第一次来福口居感觉挺不错的，菜品挺全，环境优美，尤其是007号服务员，服务态度特别不错，这次感觉吃的很好，下次还会再来。赞👍
Hanteen,4.0,不错，味道好|ω・）环境好，
明敏0,5.0,一百荤！味道很棒！菜和肉也很大份！服务员每上一道菜都会说祝福的话，很棒！尤其表扬007号服务员，五星好评！
zhyhappy2008,5.0,"013号服务员服务态度特好，还送了孩子贴纸，送了我们一个大拌菜。
用餐环境也很好 ，很干净，菜也很新鲜～"
hwx937596541,5.0,008工号服务非常好！很满意，每次都来吃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😄😄😄
大哥王丶,5.0,第一次来这吃  不错   环境很好  北京味儿浓  菜也不错  两人餐俩人儿都没吃完   分量挺足  下次还来这吃
ITe777965019,5.0,013大姐的服务态度非常非常好！服务热情周到，服务细致，帮忙拿饮料！照顾的非常到位！有一种家人的感觉！还会再来！
IUz36437452,5.0,挺好吃的，服务也很热情周到。
RoZ508208982,4.0,"【环境】好
【服务】不错
【口味】地道"
匿名用户,3.0,菜品不错，多年老回头客，只是门口迎宾员服务大不如前，把人分三六九等，见美女服务主动，见老人爱搭不理！菜品改走新贵风格，和十年前风格价位大不同了！
小雏菊2348,5.0,火锅非常好吃😋服务也超级棒，3号服务员阿姨非常热情，送了果盘还有雪糕，非常棒！！！！！！
Dlx815328123,5.0,说实在我还是很怀念当初的酒水免费，和一楼的格局
Ndn127342210,4.0,初来北京，涮羊肉不能错过，好吃不贵，值得推荐，3号阿姨热情服务，五星好评。
AdI952172652,4.0,"环境很好~
007号服务员服务热心~"
ust46045438,4.0,团的2人餐，吃的撑撑的，又送了西瓜还有冰棒，挺好，3号阿姨口才好好
罗洪仟,5.0,今天是我过完年第一天回北京，朋友招待来到了福口居，订的二楼包间，接受到了服务员帅哥的热情周到的服务，给我们提示安全隐患，发围裙手机套什么的都非常周到，上菜也符合了福口居的气质‘讲究’，及时清理垃圾空盘加汤，累坏了小伙，下次来还一定让小张给我们服务，真不错，强烈推荐
匿名用户,5.0,"超级好吃啊，我们吃得干干净净，4个人都吃撑了.今天恰好碰上我生日，店里还送了我一碗长寿面、果盘，一个小羊毛绒玩具，还给我唱生日歌，好感动啊！谢谢贵店！以后还会光临的，店里人超多啊,还好来得早。我这桌的服务生工号BT-03，服务的很到位，很热情！给她点赞！"
于丁宝儿,4.0,还可以，服务态度很好，味道还不错，两个人团购的餐正好够吃，要是团购有大锅就好了，这样两个人分食小锅挺麻烦的
匿名用户,4.0,环境不错，菜品味道很好，服务周到。尤其03号阿姨，服务一流，为她点赞！
匿名用户,4.0,菜味不错，服务和环境也都不错，3号服务员就很好！
难得糊涂小糊涂神,3.0,双人套餐 量很大 就是味道稍差了点
匿名用户,3.0,离家近，和朋友聚餐总去，挺好的，可以推荐
Hif5686241,3.0,吃了好几次了生意火爆！菜品好新鲜好吃😋
匿名用户,4.0,挺好的，下次还会再去的
RCY199509,5.0,菜品口味很棒，服务超级棒！五星推荐
tCX670593026,5.0,很好，阿姨态度超级好！3号
YFp772543250,4.0,漏勺之类的餐具还有大果汁瓶希望能清理干净 有些脏脏的
李依娜221,5.0,很不错，忘了拍图了。三个人吃四人份都吃完了基本上。
tongzhengg,5.0,菜品新鲜，服务周到，上菜带祝福，吃完送雪糕，有宾至如归的感觉
IJT879827875,3.0,味道一般 全靠调味 主要环境和服务不错
jDl223154694,5.0,菜真的很好吃，肉和菜的种类很多，果蔬盘搭配的很好，送的水果拼盘西瓜很甜。关键是，服务态度没的说，太好了，真的，态度好，而且人均又便宜，4个人吃撑了，在北京吃这么好真的不容易，最大的好评！给店家的食物和服务(๑•́₃ •̀๑) #宽粉# #麻团#
环游世界0302,5.0,"03
服务态度非常好"
帅鼠626,2.0,牛羊肉还可以，菌菇也不错，素菜一般有蔫了的
千里追风先,5.0,非常实惠的一家涮肉馆，和我爸吃的很过瘾。
匿名用户,4.0,一如既往的味道给力，人也好多，排队一个小时才吃上，量足，价格公道，点赞
千里追风先,4.0,非常实惠的一家涮肉馆，饮料零食免费，调料和羊肉也都不错。
匿名用户,3.0,服务非常周到，人很多，等待像银行一样叫号，微信关注后可以，可以随时查何时排到。
夕雾草2000,2.0,味道一般，菜品质量不高，量挺足。
匿名用户,5.0,还可以哈哈哈
匿名用户,5.0,真的不错，很卫生，味道也好，就是肉似乎少了一点，3盘较合适。
xNX420277039,5.0, #羊肉# #土豆# #麻酱# #冻豆腐# #香菇# #香辣锅# #面条# #涮菜#
匿名用户,2.0,可能是吃不惯清水火锅，或者是不会调料，感觉不到哪里好吃啊，就是装修很有特色
egu700402972,5.0,013大姐的服务和饭店的菜品都很好 推荐来
TPo713506179,3.0,羊肉口味不错，环境好，，量在大一些
CEk873887636,5.0,03服务态度很好，很热情
OuI752915558,5.0,很棒的火锅
jmJ999410927,5.0,03服务态度非常好
baG902217836,5.0,口味很好，价格实惠，主要服务特别好，卓阿姨为顾客考虑的特别周到，性格开朗，看到她就非常开心，还送了果盘和冰淇淋，非常满意，为卓阿姨点赞！
Hif5686241,4.0,还不错
haixiao520,4.0,服务还不错，菜品可以，非常满意
hzC543743398,5.0,味道很赞，很喜欢。芝麻酱很香，和朋友一起去的，都觉得好吃，值得推荐。
阳光海岸190,5.0,03服务态度特别棒！
匿名用户,1.0,"这家的汤料味道真的…辣锅可能没太放盐所以没味道…另外团购去的上菜就是比旁边桌单点的慢这是为啥？！！！肉菜是等素菜吃完了才上的，真是慢到家了！！港真，除了牛羊肉新鲜，没有任何其他优点了，一百多远不如枫蓝那些个火锅店。"
gRK399278583,4.0,非常满意的一次团购
QbE814844956,5.0,不错，服务很周到，态度都很亲切，吃的也不错，有机会还会在来我评5星⭐⭐⭐⭐⭐
ofP556824231,5.0,03服务态度好，菜品味道好，上菜速度快
Megamind404,5.0,03服务态度很好
匿名用户,4.0,菜品不错，服务可以
我叫小咸,5.0,服务员阿姨忒热情
aQe863992342,5.0,一…
jJO815022459,3.0,不错，很好的一次吃饭，下次还会和朋友一起去
桃子桃的桃儿,3.0,还不错，可以推荐香辣锅底的，麻辣很好吃
aMw828077553,5.0,环境很好，服务热情
流浪汉一个,5.0,好
CNK183415333,3.0,还可以吧，有点小贵，还是两人套餐实惠一些
匿名用户,5.0,饭菜口味可以，量足，服务很周到。
NcT887174365,5.0,6号服务员服务很好，很满意撤空盘快
Hif5686241,5.0,店内环境特别好，非常适合朋友聚餐，菜品丰富，量大
zhN209987445,5.0,环境好，味道棒
xhr82405503,3.0,还不错，就是人太多了，位置太难等了
fLq318195734,5.0,03服务态度非常好
苏祁风,5.0,价格不贵，吃的也很爽，服务也非常好，很棒
_qqfmv1430068912,5.0,仨人 额外点了点吃的很饱w 很喜欢这家
墨非755,5.0,服务非常的热情，菜品也特别的新鲜。整体来讲就是一个嗯非常棒的地方，每次去晚了都要排长长的队，所以每一次我们都是早早的去，下次也要去！
ps2002,5.0,味道好，干净卫生还送了一个凉菜，大大赞一下
匿名用户,4.0,味道服务环境都不错，很好，006号服务员很不错，感谢！
hIG660592429,1.0,首先周末人多，平均等位时间超过半小时！其次服务态度一般，服务员都很忙，没人照顾，锅上来以后烧了20分钟还没开，几次找服务员，没人解决。最后除了麻酱还可以，其他都一般，另外别点特价羊肉，不好吃还不给返券
匿名用户,5.0,套餐两个人吃都吃不完实在太多了，口感很棒，服务态度也超级棒，3号服务员阿姨太温柔，态度超级好，听说我过生日还送了我小羊玩偶
yan790716,3.0,人均消费太高了，和环境不匹配。
王者之鹰77,3.0,还行，比现买单划算，常客已经吃过好多回了。
匿名用户,5.0,第二次来了，价格也比较实惠，两个人吃的饱饱的，量挺大的。
luoly01,5.0,0满意
慧慧的美团美团,4.0,经常去吃，尤其是装修以后越来越好，味道很香
Hif5686241,5.0,03服务态度热情，菜品丰富，对老人很照顾，下次还会光临
匿名用户,5.0,三个人吃四人餐加了一份手切我的妈哟那真是撑死了。来京这么久吃的最多的火锅，来富口居吃麻酱啊，墙裂推荐！！！（上次给了小布丁这次没给 #鲜切羊肉# #金牌麻酱#
匿名用户,4.0,口味还不错，001服务员服务态度很好，下次应该还会再来～
pkt220551297,4.0,013阿姨服务超好，火锅也好吃，赞
SUD676797243,5.0,马阿姨服务热情，菜好吃味道很不错，环境也很好，感谢美味
ssokss,5.0,两人餐，吃到撑，味道赞，服务真是太周到了，以后再来北京吃火锅还会选择这里的
benita2006,5.0,服务好，服务员很热情，人多，每次都要等位。菜品都不错，鲜羊肉好吃
CwQ469742884,5.0,03，服务很满意，菜品很满意
meT674364019,5.0,二楼的服务员阿姨态度很好，点菜什么的都会告知够不够吃，看我是孕妇一直很照顾，火锅味道也很棒，值得推荐，但就是在一楼开发票时，有两个服务员带着其他宾客结账用手推了我几下，你们着急我也着急啊，我也在排队
馥郁漫天,5.0,环境不错，服务员也很周到热情。
spj541004851,5.0,"完全够量
俩人吃完撑得不行
饭点儿等的有点久服务员阿姨还送了份凉菜
从小到大就吃点的火锅了
饭后小冰棍依旧是惯例"
_qqm4x1383146980,4.0,001服务蛮好~
匿名用户,3.0,还行吧哈哈，经常去，客户楼下，方便小锅底
mZo762001170,5.0,o3服务好，下次还会再来
LFh788362578,4.0,可以，价格也相对实惠
dpuser_4775296549,5.0,除了服务不热情，其他还可以。下次还是海底捞吧，服务员态度蛮恶劣的，某些。内心受伤害。没有水果，待改进。
alP436336394,5.0,很好，名副其实的好，服务，菜品，性价比都是最好的
匿名用户,5.0,马阿姨服务特热情，服务周到。下次还来！
甄老实,4.0,这个两人套餐看起来好像不多，实际吃起来真心吃不完啊！还是很实惠很划算的，味道也不错哦，服务也好！
世界很小总会遇到,4.0,嗯…都还好，可能没点到特色菜品，涮锅都差不多，一开始以为是大锅，后来发现是小锅，完全自助火锅的感觉
ZOe856723948,4.0,很满意，菜品很丰富，环境不错，调料有特色，以来过多次，忘不了的美味。
一度流觞,5.0,正宗的老北京铜锅，服务特别热情周到，装修风格也超级喜欢
hsQ605567637,5.0,牛羊肉很棒.蔬菜拼盘也很棒两个人吃到撑哈哈哈哈 特别是03号阿姨服务态度特别亲切 特别贴心 时不时的加水 送湿巾 还送了两个小布丁
lqD515645684,5.0,"03号服务员，面带微笑，热情好客，服务周到，有亲和力。店内环境良好，干净整齐，产品丰富 量足。为你们打call
！"
悦潇雨,5.0,挺好吃的，味道不错，服务也好，吃不了或者多了东西阿姨都会给你提示，服务也周到，满意，特别是三号阿姨，么么么哒
匿名用户,5.0,他家的肉是非常不错的，很新鲜，菌类拼盘也不错。
格调蓝fighting,5.0,03服务员阿姨特别好，特别特别好，菜品也非常棒，但还是不如阿姨好！建议升值加薪！下次来还找她。阿姨赠送了小冰柜。
电影爱好者之家,5.0,小火锅不错，冬天吃暖暖的。
dCI184134516,4.0,实惠。03号大姐热情，太热情，细心体贴。棒棒哒
小杨菇凉xx,5.0,03阿姨非常好啊，服务周到，加汤很及时，耐心细心贴心，消费体验级佳，希望以后遇到的服务员都如此阿姨，饭后心情舒畅。
jHi213923980,5.0,菜品很好！
pAQ333980399,5.0,03号服务态度很好，菜品也很好。
Roze7,5.0,03服务态度各种都非常好，非常满意
Pgw243552333,5.0,03服务态度很好，菜品不错。鱼滑淀粉和豆腐太多口感不好。
rvp218051256,5.0,03阿姨好可爱！吃的很好~手切羊肉很好吃~就是特价肉不好吃2333
Qiaoyilu,5.0,这个真心挺棒。量大丰盛，服务态度好，13号热情周到，值得点赞！
弯弯的名月,5.0,03服务很好，菜也很好吃！
匿名用户,5.0,不错，挺好！团的十人餐。够吃。
海水港湾,5.0,03号服务员服务态度好，菜的口味也不错，值得品尝
灰大帅丶,5.0,味道很好，人很多，服务也很周到，很不错，
曾霞178,5.0,03阿姨服务态度好！！非常热情！！
EFY130778735,5.0,03服务太多挺好，是可以经常来的，
btr985347710,5.0,03服务态度很好
HAb983881374,5.0,工号03服务态度非常好，点个赞！
MiP170573278,5.0,013号服务员阿姨非常热情，酸奶不搞活动了，阿姨给我们争取了买一送一，和男友来吃的，非常开心！
jGa983715085,5.0,03服务态度好
匿名用户,5.0,店铺装修过环境，特别棒 阿姨的态度依然很棒 菜也很好吃 会一直支持福口居的！特别是工号03和013的阿姨每次来都让人有回家的感觉 给五星好评！
ZtS746558968,5.0,服务很是到位，阿姨非常好！013号非常热情❤️
vJX665935772,5.0,环境好！吃的好！服务更好   （尤其是那工号013的那个阿姨   特别热情）棒棒哒~
Jdp450477129,5.0,不愧是老字号，人流满贯，肉质细嫩光滑，菜品新鲜不错还会来
GBM257556018,5.0,03服务态度很好，热情，好评~
Skywalker9960,5.0,013号打劫太热情了，服务非常周到！菜品环境都非常棒
Htk136086831,5.0,03服务态度贼老好啦。性价比高
dJc322284084,5.0,03号服务员的态度非常热情，很周到
你没得救,5.0,013服务特别好～菜量足 好吃 环境特别棒～
Jojo1315,5.0,03号的大姐服务很好很满意，
wyI429774501,5.0,一如既往的好～男票过生日，送了长寿面，唱了生日歌，送了小礼物，暖暖的～工号03的阿姨特别好
aPt261623889,5.0,服务员03号阿姨人很好
NJm294390647,5.0,工号03，阿姨特别热情，又送西瓜，又送小布丁。服务态度特别好，赞！
xDr726707508,5.0,味道可以，菜品比较多，肉也地道
cjU428132766,5.0,菜品都挺新鲜，服务员超级热情，服务非常到位，吃饭环境也很优雅，装修有特色，值得推荐，4人餐，4个女士吃足够了。特别说明，164号服务员特别热情周到，很暖心。
TLm953119058,5.0,不错常来
SzJ468980893,5.0,上菜快，服务超级好，164号阿姨超级棒，服务热情周到，和女朋友吃的很开心，这样的饭店不火没有道理！给工号164的阿姨点赞！以后会常来！
mnG336658938,5.0,013大姐服务态度好，菜品足量，饮料随便喝，环境有老北京特色。
skA973909910,5.0,3号阿姨的服务超级好！！！❤️❤️❤️❤️吃完还有小布丁！！！超级开心！！！
梅开四度,5.0,羊肉新鲜，很香，调料很好吃，免费提供饮㪵
rDc158537243,5.0,非常不错，服务好羊肉正宗，好吃，装修很有老北京特色。
XNP805858972,5.0,03 阿姨态度很好 喜欢喜欢～ 菜也很好吃！
Nirvanarebirth,5.0,离家近，经常去，服务周到
用心良苦646,5.0,装修很特别，就是老北京的感觉，味道也不错，有免费的饮料和小吃，服务很到位，工号03号的阿姨很热情，其他的从保安大叔到门口的迎宾一直到上菜员服务都很赞。很少写那么多字评论，总之还会再去。
ngz903837923,5.0,还行吧，就是肉少了点
YvT593778168,5.0,羊肉很好吃！味道不错！
qag609330617,3.0,还可以吧，服务员
匿名用户,5.0,03服务态度很好，菜品也很好
SkY751690533,5.0,03服务态度非常好，点赞，牛羊组合很好，推荐！
花姑娘baby,5.0,03服务好，继续加油。挺好
弯弯的名月,5.0,03服务员服务周到，菜品十分可口。
兔兔糖果兔,5.0,03号的阿姨服务特别好，菜品也好。感觉棒棒哒
苦淡De白开水,5.0,03阿姨服务态度很好，赞一个。
听山雨,5.0,03号阿姨服务态度太好啦！福口居刚装修完，环境不错，菜品更赞！
zsq914661295,5.0,03号，好评
对弈的诗人,5.0,013服务 菜品环境都很棒！推荐！
XhS902536062,5.0,03号大姐服务态度很好，菜品不错
wMf287594612,4.0,总体不错。不知道为什么还一定要一十五个子才能发布。
WJf169889839,5.0,马阿姨服务超好！好吃好吃极了！
