店铺名称,店铺id,,,,,
W_SYY,http://www.dianping.com/member/41872927,50,口味：5.0 环境：4.0 服务：4.0 性价比：5.0 人均：98元,喜欢的菜： 油淋鸡 脆皮大肠 蛋黄南瓜 醉虾,2019-07-21 21:15,在河坊街附近的一家店，也是来杭州不容错过的一家店👉🏻人数：四人👉🏻点了七八个菜，四人一共390，可以吃的很饱了✅脆皮大肠：外面一般吃的大肠都非常油，但是这家酒楼的肥肠一点也不油，外皮炸的很酥脆，层次丰富，每桌必点😋😋✅油淋鸡：葱放的超足，鸡肉外皮也很酥脆，鸡肉本身不老也不柴，很嫩很入味，也是每桌必点菜✅蛋黄南瓜：油炸过后的南瓜裹上一层咸蛋黄，咸蛋黄稍微有些少，越吃越好吃🐂✅醉虾：活虾加入老酒配料腌制，吃的时候虾还在跳动，虾肉很嫩滑，非常入味，每桌必点！！✅葱油蛏子：分量不多，但是葱油烧的很入味，没有到必吃不可的地步✅牛蛙：这道菜最一般了，牛蛙不多，洋葱超多，牛蛙不入味，反而洋葱更好吃些总体来说，这家店去打卡就没错了！五点去的，等了十分钟很满足了，上菜速度也可以，要是我住在杭州肯定会经常光顾	
最讨厌起名字,http://www.dianping.com/member/327073669,40,口味：5.0 环境：3.0 服务：4.0 性价比：5.0,,2019-07-21 21:02,杭州必吃榜的店，开在河坊街，要从地道下面穿过去，还要走好长的路，在一个不起眼的地方。店内人很多，要排队，环境一般，很吵，要个宝宝椅都没有。不过菜很好吃，醉虾很鲜，有嚼劲。南瓜饼很脆，面粉很少。烤大肠一点腥味都没有，蘸酱吃上去像烤鸭的皮。牛蛙量少了，基本都是洋葱。叫花鸡肉很大，吃几块就饱了。蛏子很新鲜，量有点少。三鲜汤很鲜美，很下饭。除了菜的味道不错以外，环境真的一般。	
贰货青年,http://www.dianping.com/member/30473649,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2019-07-21 19:14,圈子的味道很好，一点都没骚气～醉虾也很新鲜好吃～可以～	
dpuser_7929339007,http://www.dianping.com/member/1700479892,50,口味：5.0 环境：5.0 服务：4.0 性价比：5.0,,2019-07-21 17:30,家人来杭，大众点评搜到了这家说是必吃榜第一名就来了。店附近在修地铁，所以路有点难走。五个人点了六个菜，油淋鸡超超超好吃！蛋黄南瓜热的时候很香，蛋黄味很浓。臭豆腐我去的时候已经冷了，不做点评。酱肉冬笋蒸素鸡也挺好吃的。总体来说性价比很高。	
说好不,http://www.dianping.com/member/11649256,40,口味：4.0 环境：3.0 服务：3.0 性价比：3.0,,2019-07-21 16:31,等位是真的久，感觉过了半个小时也基本不会动，拼桌的话就会很快，貌似本地人来吃的比较多「脆皮大肠」看了很多人说这个菜必点，吃过几家的，感觉味道都差不多，没有惊喜，不知道是不是期望太高了「醉虾」醉虾味道还是可以的，偏甜，酱汁调的刚刚好老鸭煲分量很大，没有拆开，服务员也不帮忙拆，不好动手，最后也没吃完下次可以体验下其他的菜	
莱茵Cherlynn,http://www.dianping.com/member/1024325130,40,口味：5.0 环境：2.0 服务：3.0 性价比：4.0,喜欢的菜： 脆皮大肠,2019-07-21 16:29,游完西湖去吃的杭帮菜这家店在河坊街一个非常不起眼的小巷子里，但是再去小红书上很火，于是我和老哥专门来这里探店[环境]🏘🏘第一印象不是很好店里空调在漏水地上放了箱子在接水。进门左手就是一堆鱼呀啥的海鲜，看起来乱乱的。[服务]服务也一般，打电话预约的时候说人多了，等的人蛮多的，去之后刚好有位子，不过是要和人家拼桌。菜品菜是真的做的好吃「脆皮大肠」我是个超级讨厌吃内脏的人还是被他家的大肠征服了没有奇怪的内脏味是煎过的酥香而不腻真神奇可以的「油淋鸡」味道也蛮好的味道很正宗只是量多两个人勉强才能吃完还是蛮好的「嫩菱芦笋」夏天如此闷热来去去火吧很嫩很清淡佛系健康的味道总评在西湖附近如果不介意餐厅环境的话还是可以来一下的毕竟味道还是不错的	
剪刘海还是剪刘海呢,http://www.dianping.com/member/1107706691,50,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,,2019-07-21 16:10,看了大众点评慕名而来鸡鸭还不差很入味喜欢吃米饭炒菜的人很适合来这边菜的分类也大但是就是对我来说有点油不过做出来的味道还是特别地道的杭帮菜那种怎么说应该是物有所值吧上菜也快的避开高峰期打卡应该体验感更好	
happylemon1,http://www.dianping.com/member/5761112,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：85元,喜欢的菜： 蛋黄南瓜 醉虾 脆皮大肠,2019-07-21 08:46,跟着大众点评寻来的老店从河坊街大号一直走到了尾端发现就是马路顿时绝望啊这地方不好找问了人说走地下过道有步行数百米终于在很不起眼的地方看到了里面有海鲜客人坐着等位空调不够大关键很一般不过后面上的菜不错醉虾很惊艳上来全都醉倒了呛的到位脆皮大肠蛋黄南瓜推荐超级好吃如果有小孩可以点三鲜汤清小孩吃的很欢乐又健康	
番茄美眉~,http://www.dianping.com/member/836136183,50,口味：5.0 环境：4.0 服务：5.0 性价比：5.0,,2019-07-21 08:25,去杭州旅游的人真是应该去一趟，据说是正宗的本帮菜[环境]门面很不起眼，刚看到还以为认错了[服务]服务也是蛮好的，但是服务员看起来不多，服务起来有点吃力「油淋鸡」点了个油酥鸡，超大一份，味道蛮好的，「嫩菱芦笋」嫩菱芦笋很鲜，像河里刚采的一样	
阿雷克斯,http://www.dianping.com/member/773589337,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：80元,喜欢的菜： 脆皮大肠 油淋鸡,2019-07-21 00:30,杭州2019听说必吃榜杭州上城区河坊街35号，这家要早来，不然排队很夸张。两个人点了4个菜，菜的分量很足，脆皮大肠真的太好吃了，处理的非常干净，加上佐料外皮酥脆里面软烂没有异味简直完美油淋鸡好吃我跟女票几下就吃光了，葱油香味简直绝了，鸡肉酥软，吃相也不会太难看，淋的料特别香家常豆腐很嫩，就是外皮可以在脆点	
神仙姐姐不挖抓,http://www.dianping.com/member/139698100,50,口味：5.0 环境：4.0 服务：3.0 性价比：4.0 人均：80元,喜欢的菜： 脆皮大肠 油淋鸡 嫩菱芦笋 干炸带鱼 臭豆腐煎毛豆 酒酿圆子羹,2019-07-21   更新于2019-08-20 00:08,必吃榜福缘居第五刷。这篇评论客观～中立～，我说说～你听听～。欢迎吐槽。口味，正宗杭帮菜代表，完全符合本帮菜的地道口味。如果单纯论口味，基本上挑不出什么大毛病，菜式每道都做到了很精。环境，最精准的两个字：“嘈杂”！！！里面其实地方已经不小了，门面居然只有这么小一个门，可见老板对自己的生意多么有信心。营销，我个人感觉营销方面几乎是没有的，全靠口碑好和历年累积的人气。因为我看大众点评没有合作套餐，本身商家也从来没有什么活动。加上老板好像很牛，态度不太好（蛮拐的），评论中差评也不少，集中是吐槽服务和环境方面的，所以应该是靠产品的实力在支撑的。名气，真是家喻户晓。没有搬地方之前，这是多少年前了，已经大部分杭州人都知道。必吃榜没有大众点评套餐的好像很少见了。性价比，有几道菜量偏少，比如主打的大肠，性价比就很一般般。但是整体按照同价位水准的杭帮菜来说，也还算可以的。服务，差到不行。饭店时间～基本上是老板亲自上阵，嚣张的不得了，好像感觉你只有低声下气才能吃到他家的菜。说到福缘居的味道给大家印象深？我来告诉你，远远不及排队等的印象深刻！！！会等到你哭信不信……福缘居最特色的是拼桌！不想等？那就拼！下面评论一下他家最引以为豪的菜品。「脆皮大肠」主打王牌MVP。卤的菜居然做到不油腻，所以能吃很多～量太少，我一般都要点两盘才过瘾。卤汁已经很入味，外皮脆而不硬，里面很软，淡淡的辣冲击味蕾，处理的恰到好处。「油淋鸡」顾名思义“油”。鸡肉鲜嫩多汁，鸡皮被热油淋到金黄爆香，香油和好大一把小葱被热油煸出香味混合在一起，肯定有秘籍～家里是绝对做不出来的。「嫩菱芦笋」两样食材都是鲜甜爽脆口感，整个嘴里都是“咔嚓咔嚓”的声音。芦笋每一颗好像都去过皮，保证了每一口都是嫩的。嫩菱季节短，依照杭州人尝鲜的势头这种就叫做当季招牌。「臭豆腐煎毛豆」是不是感觉名字俗？这可是正宗杭帮菜，夏天很多杭州人自己会在家烧的一道菜，一般中餐馆都吃不到！是我的最爱……臭豆腐的选料和煎炸火候丢很重要，不能散了也不能老了，毛豆子和豆腐还不能一起煎，考究得很，老杭州都是必点。「酒酿圆子羹」没有桂花调香，简简单单酒酿加圆子，出锅前用西湖藕粉和蛋清先后调汁，一勺羹汤里必有4-5颗圆子，用量是其他饭店的2倍以上，很实在。「臭豆腐霉菜梗烧桂鱼」很新颖的一道菜，价格偏高，口味方面不是特别的惊艳。臭是臭的要命，感觉臭豆腐浸了汤里就没吃头了，反而鱼肉倒是很鲜了，又臭又鲜。口味方面确实是杭帮菜佼佼者，无力反驳。只要好吃，不管怎么样都会有人来……	
mysteriousdd,http://www.dianping.com/member/1592549869,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：100元,喜欢的菜： 脆皮大肠 油淋鸡 蛋黄南瓜 嫩菱芦笋,2019-07-20 23:23,朋友推荐来的，据说是家杭州老店。店面在一条小路里，整体而言有点像小炒店，但从排队人数可以看出它不一般。营业时间到晚上九点半，八点多时还大排长龙。一定要人到齐才能进去，所以只派一个人去排队是不行滴。我们按照大众点评top排行点的菜，两个人吃的很撑。材料非常新鲜，肥肠一点不腥，没有一丝异味。鸡肉很嫩，连我挑剔的温州小伙伴都赞不绝口。芦笋和菱角能掐出水来的那种。蛋黄南瓜趁热吃又香又脆，放冷了南瓜口感有点像软糖，挺神奇的。整体而言口味清淡，没有过多调味，新鲜、健康、营养~	
奥图财财,http://www.dianping.com/member/2819421,30,口味：3.0 环境：3.0 服务：3.0 性价比：3.0 人均：80元,喜欢的菜： 脆皮大肠 油淋鸡 醉虾,2019-07-20 23:13,最近各大平台刷屏推荐的网红杭州本地餐馆慕名前往工作日中午一点左右到店无需排队也有好几桌客人用餐点了大家推荐的菜品口味与预期的大相径庭非常一般相当失望只有醉虾味道比较好服务的话基本没有门口建地铁没法停车较不方便。	
潘多拉仙女,http://www.dianping.com/member/48605335,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：115元,,2019-07-20 16:42,周末来杭州，没想到景区附近的餐厅这么多人，还好提早订位；菜色不错，醉虾、蛋黄南瓜、菱角芦笋……我们10个人点了一桌菜，杭帮菜还算清淡；腰花有点腥味，脆皮大肠的味道还不错；午餐时间店里客人不少，因为门口修地铁的缘故，不太好找，有点绕路。	
晚上吃什么,http://www.dianping.com/member/794698765,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,喜欢的菜： 脆皮大肠 蛋黄南瓜 醉虾 干炸臭豆腐,2019-07-20 14:03,跟着导航竟然没有发现，然后很机智的在旁边小路口里找到了，作为一个必吃榜，门帘真的很低调，你们是认真的么，点了大众点评上前几名的菜，脆皮大肠，听名字就知道它很脆，沾着他特制的酱汁，香一跟头，更重要的是它肥的地方一点不会腻醉虾，不知为什么这些虾都是带着小鱼子的，咦，个人比较排斥这个，所以我只吃了一口，味道绝对是赞的干炸臭豆腐，第一口吃起来，感觉火有点大了，但是好在里面软软嫩嫩的，我是白嘴吃的，因为觉得酱汁有点咸了蛋黄南瓜，女生对蛋黄应该是无抵抗能力，这个蛋黄南瓜嘛，软软糯糯的，很不错，但素，有点油腻，吃几口还是很不错的虽然环境差了点，人多了点，拼桌很常见，但是人家主要卖的是手艺呀！	
Nico,http://www.dianping.com/member/184405391,50,口味：5.0 环境：4.0 服务：4.0 性价比：4.0,,2019-07-20 13:48,「脆皮大肠」必点…脆脆的味道香的很「油淋鸡」稍稍有点油但是粘点汁水吃好极了「干炸臭豆腐」这个还不错哦！臭豆腐很香辣酱有点咸「醉虾」活蹦乱跳就是有点咸了「酱爆茄子」味道不错有点油咸蛋黄南瓜也有点油味道都不错给我的感觉这家店有点重口都有点油上菜速度很快…人很多拼桌会快一点	
长风与江离,http://www.dianping.com/member/1157111811,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,喜欢的菜： 油淋鸡 蛋黄南瓜 蒜子炒鳝段 拌臭豆腐,2019-07-19 23:03,福缘居真的实至名归来，杭州必吃！店面不大，顾客很多，老板娘很利落。周边在修地铁但是顾客还是很多，拼桌的话会快一点！这道油淋鸡太好吃了，回上海了我还心心念念。鸡皮有炸过的酥脆，但是有吸饱了汤汁，糯糯软软，肉也锁满了汁水，嫩滑的不得了，一定要吃！拌臭豆腐也超级棒，卤味儿很正，豆腐点的很好，咬一口有汁水，拌香菜的味道配合豆腐“臭”灵的不得了。咸蛋黄南瓜好吃，不会很腻，香香的有南瓜的纤维感。大蒜鳝段，鳝子好胖~处理的干干净净，这个季节吃鳝太棒了。超级推荐哦，下次来杭州还要吃	
五粒鱼籽,http://www.dianping.com/member/179696243,20,口味：2.0 环境：2.0 服务：3.0 性价比：1.0,,2019-07-19   更新于2019-07-20 11:37,福缘居也太难吃了它......不配拥有精修照片不配有那么多人排队不配让我期待那么久☹️	
匿名用户,匿名用户,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：50元,喜欢的菜： 蛋黄南瓜,2019-07-19 13:49,排队需要很长时间呢，菜品味道还可以，但也没有很惊艳，蛋黄南瓜好吃	
i后海,http://www.dianping.com/member/836151411,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：80元,喜欢的菜： 油淋鸡,2019-07-19 11:12,打卡网红店，周末下雨去吃还是要排队。排队取号只能去店里取，店家给你一张手写的取号单。不过店家也是很有灵性了，有圆桌了之后让人少的两队人拼桌，所以还是没多久没吃上了。店内的装修就相当于以前的老式酒楼，很有年代感。「脆皮大肠」大肠味道可以，但是不算是特别惊艳吧，招牌菜基本人人必点，量也是很多了。「油淋鸡」这道菜超级赞，鸡很嫩很鲜美，量也很多，我觉得这道菜比大肠更棒。「醉虾」时价18块钱一两，三两起卖，作为一个吃惯了生食的海边人觉得味道还是可以的，要是不能吃生的还是不建议食用了。	
宁负天下不负美食,http://www.dianping.com/member/1813281386,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0 人均：50元,喜欢的菜： 油淋鸡 脆皮大肠 干炸臭豆腐 酱肉冬笋蒸素鸡,2019-07-19 07:18,老牌杭州菜馆，菜品经典，经得起推敲。缺点是人太多。	
熊仔只吃肉,http://www.dianping.com/member/815125309,30,口味：4.0 环境：3.0 服务：5.0 性价比：3.0 人均：100元,喜欢的菜： 脆皮大肠,2019-07-18 21:25,【福缘居】[环境]今天白天33度吧店里空调打的不够低还是很热...餐具是一次性的装修简单[服务]服务不错👅「醉虾」酱非常好吃就是这个虾跳来跳去的溅衣服上........太麻烦了吧..鲜是挺鲜的👅「脆皮大肠」第一名是有它的道理的很好吃！外皮很脆有点油但是好吃👅「蛋黄南瓜」吃不到蛋黄味有待提高👅「油淋鸡」太油了跟吃拌面一样..肉跟烧鹅一样柴.....这么四个菜200差几块钱性价比挺低的下午1.40左右到店里糖醋里脊和糖醋排骨都卖完了....不会二刷了.......	
wldjyd,http://www.dianping.com/member/35635082,50,口味：5.0 环境：4.0 服务：4.0 性价比：5.0,,2019-07-18 20:57,城站旁边的老馆子，离地铁口有点远，晚上7点半到了发现人很多要排队，如果愿意拼桌可以快一点。点了比较常点的大肠、蛋黄南瓜，以及认为不会踩雷的酱爆牛蛙。大肠非常好吃，尤其那个蘸酱，回味无穷。蛋黄南瓜看个人口味吧，我感觉一般。酱爆牛蛙完全不辣，很香	
小荼1994,http://www.dianping.com/member/32300319,40,口味：4.0 环境：5.0 服务：2.0 性价比：3.0,,2019-07-18 20:45,它家的脆皮大肠在微博小火了一番，于是满座的当地人里也有了不少游客来打卡，要想不排队11点到都算迟。三个人以下肯定是拼桌了，带着孩子也得拼，服务员不给你选择的机会。脆皮大肠真的非常出色，不油不腻非常香，不需要蘸水就很好吃，油淋鸡让我重新爱上了葱油，就是鸡肉免不了柴，也算优秀就是了。	
大能熊,http://www.dianping.com/member/20586980,40,口味：5.0 环境：4.0 服务：4.0 性价比：5.0,喜欢的菜： 油淋鸡 家烧鱼头,2019-07-18 20:34,推荐油淋鸡和家烧鱼头！非常好吃！油淋鸡吃起来像白斩鸡和烤鸡的结合体，超好吃，量又足，鸡胸肉都很嫩，全部吃光光。家烧鱼头是一大碗盛上来的，看着就很像家里煮的，有点甜咪咪的味道真是好吃，鱼头一点土腥味都没有。比较失望的是杭州卷鸡和皮蛋豆腐，都太咸了。蛋黄南瓜也一般吧，外面那层太硬啦。	
随心所猜,http://www.dianping.com/member/837299380,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：64元,,2019-07-18 19:32,十一点没到就跑过去了，哈哈哈是店里仅有的三桌客人之一，后来陆陆续续又来了几桌，店里是要到十一点才能开始点餐的，所以我们到的早自然吃得也早「油淋鸡」这个要趁热吃，很好吃的！皮脆肉嫩！真的不错「脆皮大肠」就是表皮脆脆的大肠沾汁吃我觉得少了几分味道，但是还可以「嫩菱芦笋」很嫩很鲜，但是吃不惯，没什么味道，有些涩涩的。	
可达鸭嘎嘎嘎,http://www.dianping.com/member/766654464,40,口味：4.0 环境：4.0 服务：4.0 性价比：5.0,,2019-07-18 16:47,老底子的杭帮菜，味道还是很可以的，9点钟停止点菜，我们在9:01到店赶上了最后一波，有点惊险，一共点了6个菜，味道都很有小时侯的feel～「醉虾」好多年没有吃的醉虾，端上来依旧活蹦乱跳，料很入味，就是吃到后面有点咸。「脆皮大肠」肥而不腻，酥脆鲜香，已经算是很不错的大肠了，再蘸上特制酱料，非常下饭。「干炸臭豆腐」不功不过的臭豆腐，很适合当夜宵吃「干炸带鱼」干炸带鱼还是蛮不错的，带鱼很肥，炸的外焦里嫩，一口咬下去还在冒热气，让人欲罢不能。「蛋黄南瓜」蛋黄和南瓜的完美融合，咸甜的绝对碰撞，🉑️「田鸡」田鸡算是里面不算那么好吃的菜，味道是可以的，就是田鸡有点瘦，肉不多。	
Sofarsolong,http://www.dianping.com/member/4273402,30,口味：3.0 环境：2.0 服务：3.0 性价比：3.0 人均：70元,喜欢的菜： 脆皮大肠,2019-07-18 14:06,[环境]苍蝇馆子我也去过，不是说本帮菜馆子就对干净卫生没要求了吧。这家虽说是新店，但环境真的有点过分。洗手间连个灯都没有，剩菜盘子和菜渣就放在大堂里敞开的塑料箱里。在一个大厅里摆了尽可能多的桌子，你能想象那个音量吗？我和对面小伙伴讲话都要用喊的。为了保护嗓子和听力，我也不推荐来这里吃饭。[服务]流水的翻桌，就别指望服务了。上菜跟摔碗一样，擦桌子就是一抹，而且上菜也很慢。老板老板娘坐镇收银点菜叫号。「臭豆腐炒毛豆」点了另外两冷菜很晚才上，这个菜倒是最快上了（也是15分钟后了）。虽然第一口就把我咸到了，但我真的是饿了，还是吃了几口，咳，后面就靠喝水续命了。毛豆也不新鲜，要不就没煮够。「虾油鸡」没有点油淋鸡，就是想吃吃虾油做的怎么样，我记得价格也是不便宜的，半只不到的虾油鸡，68一份。重点是鸡肉很柴，连最嫩的鸡腿部分都咬不动。再就是咸，排第二吧。「抱腌菜荷包蛋」这碗很适合做面浇头，荷包蛋是用鹌鹑蛋煎的，抱腌菜用大油炒的很鲜，也是第三咸，但已经算是刚好下饭的程度了。「脆皮大肠」这道我喜欢，炖的很酥软，外皮又有点嚼劲，咸甜适中。肥而不腻是做不到了，吃不完，已经腻了。「嫩菱芦笋」总要来个蔬菜，还算清爽，芦笋蛮嫩的。「发糕」本来还想点别的菜，但真的前面上菜又慢又油又咸，半份发糕也吃饱了。发糕还可以哦，虽然不是发很松软的那种，但我喜欢有点实有点q弹的。必吃榜已经快变黑榜了，本来以为这么多人去了都说好吃，应该不会踩雷，但这顿我也不好说难吃，记忆点只有咸了。咸到我喝了一晚上水，早上起来还是渴，还肿了……	
小嶋陽肉,http://www.dianping.com/member/570153925,50,口味：5.0 环境：5.0 服务：4.0 性价比：5.0 人均：75元,,2019-07-18 10:42,下午五点二十左右到，等位20分钟。自己可以算下翻桌时间。下着雨，雨伞一定要放门口，不然老板会讲人的。醉虾真的很好吃，很有特色。炸臭豆腐也好吃干香，臭味不是特别明显，但是蘸酱真的特别齁咸。大肠也推荐，好吃的不行。油淋鸡反而叫我失望，肉质基本上没什么味道酱汁也淡。挺喜欢的！改观了江浙菜。	
懒到没治的光脚丫,http://www.dianping.com/member/490510,30,口味：3.0 环境：3.0 服务：3.0 性价比：4.0 人均：70元,喜欢的菜： 脆皮大肠,2019-07-18 10:35,朋友说来这家拔草，没想到这个店居然是必吃榜！我一直都不知道！环境：门口在修地铁，路很窄，但是六点已经排了十几桌了！大家坐在外面大厅里，有点闷热那种环境！老板会一直问有没有人拼桌，拼桌的话会比较快吃上！我的应该等了半小时吧……进去吃的地方更崩溃，到底是必吃榜，生意非常火爆了，所以桌子排的密密麻麻，过道也只能走一个人，大厅里吵到像是在Ktv，有一个好处是你说隔壁坏话别人也听不到，坏处就是我也只能扯着嗓子说话，喉咙有点哑了，出门还有点耳鸣了…服务：这个完全没有服务可言，水自己倒，服务员上菜是用来摔的…还好上菜速度还可以！菜品：三个人看什么都想吃，但是很容易肚子饱了嘴巴没饱，很后悔没多叫人来…毕竟排了队总想多吃一点回来弥补一下…虽然肉最后都长在自己身上，钱也要掏出去…菜品最推荐的是脆皮大肠，是真的很脆不腻那种；其他的菜都是打死了卖盐的做法，最后完全靠两块发糕去压一下。但是发糕发的不怎么松，是微甜也不怎么酸，比较实的那种。虾油鸡：火候掌握可以，鸡骨头还有点带血但是又熟了，腌制的酱汁调的味道还不错，缺点是鸡太柴…腌菜抱荷包蛋：真的是老底子杭州菜呀，很少在餐馆见到这种家常做法，重油大火才能做出来…毛豆炒臭豆腐，臭豆腐先煎再炒很入味，但毛豆明显像是冰冻的口感，不是现剥的那种，然后咸到令人发指…三个人点了这么多菜一共206，价格还行吧。还能说什么呢，回家一直喝水，可能盐是真的便宜，然后味道不重没法让人记住吧……朋友说不如去她家让她老爹烧给我们吃呢，这种我个人还是不建议来排长队打卡啦！	
冷狗蛋,http://www.dianping.com/member/125516289,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,喜欢的菜： 脆皮大肠 油淋鸡 干炸响铃,2019-07-18 09:58,去杭州前就在微博上种草了这家店晚上去的时候找了好久旁边是在修路还是在修地铁要拿号的排队排了好久差点吃不上脆皮大肠和油淋鸡真的很惊艳脆皮大肠的口感特别棒有油淋鸡的外表平平无奇但是味道真是绝了等了那么长时间觉得没有白等味道真的很好	
阿布0000001,http://www.dianping.com/member/44365970,40,口味：3.0 环境：3.0 服务：3.0 性价比：3.0,,2019-07-17 22:28,看这家店是必吃榜周一五点四十几到的排队排到11号了满怀期待地等了半小时吧上菜挺慢的店里空调不给力啊热的要死环境很嘈杂说话要靠吼才能听到卤大肠算是点的菜里更好吃的了但是其实味道并没有很惊艳啊菜量也不大小碗里小小的一堆爆腌菜炒荷包蛋荷包蛋是鹌鹑蛋煎的蛋量并不大全是爆腌菜感觉是很好的面条浇头口感偏咸虾油鸡虽然看起来火候掌握得刚好骨头带红鸡肉全熟了但是肉的口感还是有点老不知道是不是鸡的品种问题另外还是很咸臭豆腐毛豆的臭豆腐是先煎香再捣碎炒毛豆的但是毛豆品质不好偏硬不嫩还是咸唯一不咸的菜是香菱芦笋但是炒菜的水准也很一般啊卖相还不如我爹好最后就着发糕吃才把自己喂饱了吃完以后嘴巴渴不是味精的渴是盐不要钱的渴性价比不高全程没有服务不建议去打卡	
七个豇豆红,http://www.dianping.com/member/184165725,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0 人均：80元,喜欢的菜： 油淋鸡 蛋黄南瓜 脆皮大肠,2019-07-17 22:10,两个人去吃的，五点多到的，很快就坐满了人，庆幸去的早哈哈～油淋鸡好好吃！！脆皮肉质软嫩多汁，疯狂安利✔脆皮大肠配了酱汁，甜甜的也好吃～我喜欢肉质厚的，有嚼劲一点～蛋黄南瓜上来挺热乎的，表层的浆衣很完整，我比较喜欢这种层次感，也安利一下✔清炒芦笋比较清爽，挺嫩的，还不错哈哈～总而言之，这波不亏，下次再来！	
啊颖*,http://www.dianping.com/member/145092065,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2019-07-17 20:14,拔草必吃榜哈哈性价比真的超级高「脆皮大肠」大肠近期好像特别火哪哪都有，但这家的真的特别好吃「油淋鸡」很特别的作法，鸡肉鲜嫩多汁，蘸着汤汁非常好吃，而且量大「干炸带鱼」无功无过，相对比老头油爆虾的带鱼来说，次了点	
吃了睡丶睡了吃,http://www.dianping.com/member/792285807,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0 人均：50元,,2019-07-17 16:53,边上最近在修路，店铺有一丢难寻。鱼最最最最好吃了，细腻的鱼肉和鲜美的味道就特别吸引我了。其他的红烧肉青菜之类的就很有家常的味道，和在上海吃的本帮菜差不多。在杭州最喜欢吃鱼了，和上海的鱼都不太一样特别好吃。	
jiji1910,http://www.dianping.com/member/825436,50,口味：5.0 环境：3.0 服务：4.0 性价比：5.0,,2019-07-17 08:03,随便走进的一家餐馆，环境一般，还要拼桌，但没想到这么好吃哦，特别是脆皮大肠，炸的脆脆的又香糯可口，咸蛋黄排骨也不错，葱油鸡很嫩每桌必点，醉虾我觉得有点咸，总之很满足	
dpuser_9873597466,http://www.dianping.com/member/836466800,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,,2019-07-16 11:34,吃了必吃菜，尤其是醉虾，很好吃，但别的菜我觉得一般性，没有那么特别惊艳的感觉，可能是我停车的时候绕了太久，期待值太高，吃起来就一般，醉虾我本来就很爱吃，别的菜好咸好咸，炸臭豆腐很臭，味道不错，就是太咸了	
slowdive,http://www.dianping.com/member/123842507,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,喜欢的菜： 爆炒腰花 脆皮大肠 油淋鸡 醉虾 嫩菱芦笋 糖醋里脊,2019-07-16 09:20,福缘居酒楼也是杭州有名老字号餐厅了，菜品口味好，人气旺，附近修地铁，道路有所遮挡依旧挡不住吃客们慕名而来😄酱鸭口味非常入味，调味汁略带辣，非常解腻，夏季吃来，佐餐下饭两宜。腌菜毛豆，最平常的杭帮小菜，足见功力，调味到位。爆炒腰花，嫩度把控精准，调味非常赞，略带一点辣味，把腰子本身异味去除的很到位，足见功力，推荐！菜单菜品非常丰富，只是吃不下了，没办法再点了。餐厅整体服务，价格性价比都很好，值得经常去，推荐😄	
天天17,http://www.dianping.com/member/9502384,40,口味：4.0 环境：3.0 服务：4.0 性价比：4.0,,2019-07-15 20:12,推荐一哈，还蛮不错的杭帮菜，如果不是因为造地铁把路都围起来了，他的地理位置还是不错滴，生意很火爆，真的是爆满还排队，幸好早早地预定了包厢～满满一桌子菜吃了一千多，性价比也是很不错的啦～环境，说真的不怎么样，大堂很挤，包厢也比较破旧，但是有老底子的味道，热闹的人情味。但厕所…是真的无法接受了，仿佛是临时搭建的，连灯都没有…不分男女一共两格，在厨房旁边，看到的时候我也是惊呆了。这…也算个特色吧？！菜的味道都还蛮正的，敲喜欢大肠的，好次好次好次，也不油腻～带鱼也是炸得很透很嫩很香脆，一口气可以吃上好几块，白斩鸡和老鸭煲，肉都很嫩很酥，老鸭煲的汤超鲜的。双臭烧桂鱼，很特别，味道意外的很棒啊，臭豆腐吃了好几块，桂鱼很新鲜，味道很鲜美咸猪蹄走油也走得很到位，肉嫩，吃了好多快，实在太罪恶了～总之光盘行动干起来！！！菜不错，环境一般，服务还行～还是很值得来的哦～	
