区域,北京,餐饮类型,火锅,店铺id,264019,店铺名称,东来顺饭庄（三里河店）,经度,116.346527,纬度,39.911789
用户,星级,评论
匿名用户,5.0,味道可以，就是服务态度太差了，下次来的考虑下。
ARr24271094,4.0,口味不错，量也很足，四人248还算很值
zHo575739203,5.0,很不错，这个店很大，人不多，有包间。
碧水清荷8866,5.0,铜锅涮肉，非常好吃！肉品和配菜都不错！又团一次！
IVk629696284,5.0,味道不错，把我们带到后面大厅，服务员说话听不懂，服务态度一般，
qmr365578075,5.0,不错哦，量也很足
UZx83987887,5.0,不错，就是人多，得提前定
蝌蝌不蚪,5.0,不错，很实惠的团购
sXc720397601,5.0,很不错，分量很足
匿名用户,5.0,好，愉快的用餐
nannefu,5.0,很实惠，去旅游时团的
jiangfullll,1.0,没有去成
RvX632337692,5.0,还算可以
匿名用户,5.0,还好
峥儿子,5.0,还不错 生意好所以上菜慢
碧水清荷8866,5.0,非常好，还要来
qaY464701096,4.0,环境一般 味道还不错
abinkkk,5.0,很漂亮很多好吃的
wanglei871103,3.0,环境很差，服务员也不积极。
匿名用户,5.0,量足，味道不错
匿名用户,4.0,还是不错的
匿名用户,5.0,挺好的
cumtgg,5.0,东西都不错，略显清冷。
匿名用户,5.0,正宗
shiziwang0214,5.0,
匿名用户,5.0,
KCH698524297,5.0,
tzq458956173,5.0,划算，就这点
匿名用户,5.0,好，很赞
被占用你妹啊,3.0,东西一般 没什么特别想说的......
冷澈不似卿,5.0,
风舞人寒,5.0,好
东方隆美尔,5.0,啤酒15，把我吓到了
皇太极朱元璋,5.0,菜量大，好吃
GUW160526481,4.0,挺好
飞过流年780,4.0,
马佳瑞瑞,5.0,
白YZ837,5.0,
FKS184614593,5.0,
猪肉顿粉条,1.0,非常不好
jacklee971,4.0,非常非常不错！
vhC453348134,5.0,菜量很足
守護你D永久,3.0,
lbW822585577,5.0,环境不错 ，味道不错，服务不错，还要写什么
无敌小静香,4.0,他家的烧饼特别好吃！！！！！！！
eVI430094333,3.0,老婆第二次来京，带着娃，一起吃吃东来顺，感觉还是挺不错的。
_qqt7k1384925227,5.0,非要十五个字！非要十五个字吗！非要十五个字吗！
匿名用户,5.0,
jbe322544170,2.0,给朋友团的，反馈一般。。。。。。
花生吃东西,5.0,
CYDXGM,5.0,
拥有181,5.0,
跳舞蹈的大白,5.0,
VRW679103315,5.0,
gnZ197556563,5.0,
随风615875077,5.0,
VwJ785678528,5.0,
时间不曾为你驻足,5.0,
rEv935348081,5.0,
Mt1193237976,5.0,
Yang_Tiecheng,5.0,
Yang_Tiecheng,5.0,
zWE276549214,5.0,
Cmb766088980,5.0,
xgc0123,5.0,
残风无涯,5.0,
残风无涯,5.0,
匿名用户,5.0,
不包吃,5.0,
LtT554534320,4.0,
fnM299978376,5.0,
hJo5011701,5.0,
ENN906493789,5.0,
OOa882073101,5.0,
Abdullah7,5.0,
CZN796636908,5.0,
xiongxinhaha,5.0,
Wnc87296940,5.0,
seehot,5.0,
xCW808359233,5.0,
路对了走多远都值,5.0,
Phoozzie,5.0,
yin498,5.0,
天王1975,5.0,
fj2077,4.0,
PCb709702956,5.0,
vmn422110522,5.0,
匿名用户,4.0,
匿名用户,5.0,
hxympy,5.0,
hxympy,5.0,
匿名用户,4.0,
nTb207643242,4.0,
匿名用户,5.0,
mQM244286131,4.0,
时间不曾为你驻足,5.0,
匿名用户,4.0,
Ycg488377624,5.0,
DONG00880,4.0,
hmm22,5.0,
Singlepas,5.0,
匿名用户,4.0,
匿名用户,5.0,
平凡的飘雪,4.0,
SFV953050834,4.0,
匿名用户,5.0,
100mmm,4.0,
sun007358,4.0,
iGy247529426,5.0,
tcyn1231,5.0,
假如生活欺骗你！,5.0,
时间不曾为你驻足,5.0,
yqV879340692,4.0,
LtT554534320,4.0,
LtT554534320,4.0,
kSu591921359,5.0,
蛮杰,4.0,
mayor9815,5.0,
gardenia547,4.0,
残风无涯,5.0,
残风无涯,5.0,
WPp196135413,4.0,
朱建勇1977,5.0,
uES296087505,4.0,
bEC260443270,4.0,
匿名用户,4.0,
在这呢！250,5.0,
qiuvsju,4.0,
gaf650388542,5.0,
校园法治苗润华,4.0,
Dwi735765237,5.0,
张54671,5.0,
cQN616674109,4.0,
匿名用户,5.0,
时间不曾为你驻足,5.0,
Abdullah7,4.0,
Abdullah7,4.0,
EpQ920878889,4.0,
xGU260656169,4.0,
GsA217003548,4.0,
童话里的叶子,5.0,
匿名用户,5.0,
小邓子哟～,4.0,
跳舞蹈的大白,5.0,
时间不曾为你驻足,5.0,
nJp505575095,5.0,
vup221418569,5.0,
匿名用户,5.0,
qro643358113,5.0,
rrv183194325,5.0,
wllhc,4.0,
PdF923228934,5.0,
黑糊糊d,4.0,
Nyj543631559,4.0,
匿名用户,4.0,
sdwh1982,4.0,
随风615875077,5.0,
yy81434846,5.0,
Abdullah7,4.0,
JTR331975576,5.0,
嘟嘟呢喃,4.0,
ndy321,4.0,
zhuzhu8101,4.0,
三哥就会吃,4.0,
纪瑞璇,5.0,
超级大肥猫猫,4.0,
王菲8699,5.0,
mjW266601604,5.0,
aGK927289729,4.0,
ZFA480544008,5.0,
guolm0803,4.0,
匿名用户,4.0,
曹东红,4.0,
DIK412682528,5.0,
wdJ471939544,4.0,
幸福一家永远。,5.0,
gang833,4.0,
kpA72136398,5.0,
Onlyueyue,4.0,
wang123654wang,5.0,
向日葵开花了0,5.0,
OPN114679907,5.0,
惹祸的扁豆,4.0,
匿名用户,5.0,
zj357952406,4.0,
als584257989,5.0,
JpI134506840,5.0,
TeF192209358,5.0,
匿名用户,4.0,
匿名用户,5.0,
匿名用户,4.0,
qpo356867711,5.0,
kingoffish,4.0,
btfk222,4.0,
匿名用户,5.0,
田玉仟,5.0,
morningmeituan,5.0,
ixj480930749,5.0,
音符yinghu,5.0,
Vki112201606,4.0,
Dka13863670099,4.0,
吃货，她老公,5.0,
Serendipity2017,5.0,
匿名用户,5.0,
EGK62100283,5.0,
pNbaaqqw,5.0,
leech6696,5.0,
eunice1130,5.0,
zhuzhu8101,5.0,
congsrx,4.0,
QzJ688867833鸿钛,5.0,
匿名用户,5.0,
qhdwml,5.0,
EwM356195705,4.0,
匿名用户,5.0,
做人要潇洒一点,5.0,
飞雁醉孤帆,5.0,
hezudaozai_2008,5.0,
首都五爷,5.0,
张雨泽1234,5.0,
UMZ864193973,5.0,
aqD920077840,4.0,
冷澈不似卿,5.0,
冷澈不似卿,5.0,
冷澈不似卿,5.0,
冷澈不似卿,5.0,
冷澈不似卿,5.0,
冷澈不似卿,5.0,
冷澈不似卿,5.0,
lPx759000686,5.0,
EEc263268828,5.0,
勰娜,4.0,
chinapost68,4.0,
NpQ703892296,5.0,
段莺歌燕舞,5.0,
Lxgly520,5.0,
你说呢1973,5.0,
legpull,5.0,
皇太极朱元璋,5.0,
MGk940505385,5.0,
lt3902,4.0,
crB875471516,5.0,
爱生活的钟囡囡,5.0,
冷澈不似卿,5.0,
匿名用户,5.0,
听话的乖孩子26,5.0,
mxdsjxmxdsjx,5.0,
Wsm136112587,5.0,
安小小小华,5.0,
错过不如做错1,5.0,
Girt345,5.0,
thq951692283,5.0,
cQN616674109,5.0,
ixj480930749,4.0,
NPX292294427,5.0,
皇太极朱元璋,5.0,
uvK536675476,5.0,
tqv472281618,5.0,
Yln450604,5.0,
lipeidong009,5.0,
kJD435407701,5.0,
墨柒崎,5.0,
zkckx,5.0,
twq532126130,5.0,
青春无悔329,4.0,
冬冬的美好生活,5.0,
Lzx519639216,5.0,
qTd316262434,5.0,
简单19691207,5.0,
ulahan000,5.0,
婷宝儿1990,5.0,
伟总888,5.0,
逆水之鱼738,5.0,
逆水之鱼738,5.0,
逆水之鱼738,5.0,
_qq4zw1396014414,4.0,
lx_rabbit,5.0,
Qux191176924,5.0,
wang_yingying,5.0,
aHo930332584,5.0,
王奥生,5.0,
XeO559570439,5.0,
陆适荫,5.0,
龙华尚城81301,5.0,
大聪慧慧,5.0,
fsp7722996,5.0,
NYl721296454,4.0,
miaoke111,5.0,
左十卓机,5.0,
uVY146721931,4.0,
湘夜雨g,5.0,
zhangyang0454,5.0,
随心所欲06,5.0,
chen474776824,5.0,
匿名用户,4.0,
小不点0087,5.0,
yelin121,5.0,
fsp7722996,5.0,
惹祸的扁豆,5.0,
rUR911461717,5.0,
网上的飞人,5.0,
ZMf992602960,3.0,
Krw435110665,4.0,
滢215,5.0,
oeX988630564,5.0,
HqS964079131,5.0,
张鹏9524,5.0,
ZCQ802982789,4.0,
zqqyhb,5.0,
vCL566621927,5.0,
掰指头数日子,5.0,
paY835604357,5.0,
李lidongsheng,5.0,
hsB769023269,5.0,
yGf207440558,5.0,
随风615875077,5.0,
BLU212829079,4.0,
wdd716819039,4.0,
Ucf605320886,5.0,
zb6653589,5.0,
OOlingling00,5.0,
epJ837320391,5.0,
CDECzzk,5.0,
微笑流浪00586,5.0,
匿名用户,5.0,
IPa585696730,3.0,
研究馆员,5.0,
SHv825692075,5.0,
_qqcw61427256491,5.0,
taj172294446,4.0,
opsmd,5.0,
FPw255318121,5.0,
匿名用户,5.0,
BJK689851026,4.0,
和你拉手,5.0,
tdE158719952,2.0,
JL乐乐LOVE,5.0,
gZs318981126,3.0,
Q二丫丫,4.0,
gCl193945999,5.0,
zhangyezh81,5.0,
匿名用户,5.0,
张煜晨爱大笑,5.0,
寞轻,3.0,
gbn483561708,5.0,
tqS518332640,5.0,
keD547637917,5.0,
keJ699467527,5.0,
欧阳妍禛,5.0,
Daijicheng1,5.0,
李海龙888,4.0,
顾荣雷,5.0,
顾荣雷,5.0,
顾荣雷,5.0,
匿名用户,5.0,
灰姑娘一,1.0,
zQx18911151678,1.0,
TGW655822937,5.0,
寻烨华尔兹,5.0,
碧水清荷8866,5.0,
匿名用户,5.0,
Kin165137873,5.0,
s芦苇荡,2.0,
很好很,5.0,
匿名用户,5.0,
匿名用户,5.0,
匿名用户,5.0,
lRd13810991321,5.0,
匿名用户,4.0,
frg601236112,5.0,
lRd13810991321,5.0,
区域,北京,餐饮类型,烧烤烤串,店铺id,96716188,店铺名称,眼镜望京小腰（北京总店）,经度,116.476293,纬度,39.988923
用户,星级,评论
JAp532755625,5.0,小腰个头大～吃着过瘾不算贵 ，新鲜的海鲜
牵手1573,5.0,品质口感一如既往，团购更实惠，两个人够吃～～～
富豪有我,5.0,很不错  以前都没有外卖和套餐 第一次发现有套餐  现在套餐非常合适
uWo906275458,5.0,蛮好吃的，疫情期间也注重防护措施，很棒
GFP853686454,4.0,十分感谢🙏大众点评平台和眼睛望京小腰（北京总店）联合做的霸王餐优惠活动，店的位置很好找，就在望京附近多家商铺的中间的位置上。环境很好👌干净卫生整洁，经营各种串串，羊肉串串、肉筋串串、🐔关节和鸡胗等等烤出来都十分的👌吃和香，其实他们还有很多象蒜蓉小龙🦐锡纸毛肚和辣炒花蛤都深受广大美食爱好者的喜爱，服务更是无可挑剔，十几𠆤年青人真诚的为每一个前来吃串串的食客认真热情的服务，为他们的辛苦付出点👍，祝福眼镜望京小腰（北京总店）生意红红火🔥！
oQB699006052,5.0,烤串只有晚上才有 ，中午只有面。晚上人好多 ，九点多了还等了四十分钟才等到座位。好在女服务员十分热情周到，这么多人还能保持亲切热情的服务态度十分难得。小腰太好吃啦，强烈推荐。
是杨小乐啊,5.0,感谢商家和点评的活动，体验顺利，好评！店内的串都要5串起点，六块以上的不用，不过六块以上的很少，只有鸡翅什么的。推荐蒜和香菇，椒盐大虾也不错。这家眼镜望京小腰还比较特别，虽然串店只有晚上开，但白天会卖面。
qiyueqite,3.0,人多，门口放着电影，方便大家等位无聊时看，小腰味道不错
奥罗拉伊里斯,5.0,菜单配色很好，看起来像份请柬。上串速度很快，吃的没有上的快，唯一不足的是肉凉的也快，还没吃完肉就凉了。小腰很嫩，没有腥臊味。鸡关节是奥尔良味的，板筋特别有嚼劲，新管脆脆的。我最喜欢的是烤蔬菜串，外皮豆皮烤的脆脆的，里面青菜一咬还有汁，吃肉串吃腻的时候来一口最好了。
Lucasc1021,4.0,感谢美团让我我中了奖，今天晚上坐地铁到阜通站，出c口沿着那条路有200米就能看到了，座位特别矮，就和路边摊撸串一个样，但确实不太舒服，上菜特别快，所以凉的也快，不过可以让后厨再给加热，店员都很热情，菜品味道不错，小腰果真名不虚传，非常嫩，而且没有异味，很是喜欢。
清风徐来5842,5.0,非常幸运抽中了这次免费单人餐的机会，感谢美团！早就想去吃这家烧烤店啦，店铺位置很好找，就在地铁14号线阜通站附近，17：30开门，我45到的，已经有好几桌啦，店员很热情，告诉我要18：00点才能点餐，她先帮我下好单，等候期间店里陆陆续续的上人，六点多以后几乎座无虚席，生意非常好，我中的单人餐菜品丰富，羊肉串，蔬菜卷不错，最爱的是他们家的招牌，小腰～超赞👍，唯一不足的是板筋有点嚼不动，不过没影响我的食欲，瑕不掩瑜嘛😄总之就是好吃，以后吃烧烤就去他们家啦😄
你好～徐小姐,4.0,中了霸王餐的单人券，叫上朋友一起来吃，店面很宽敞，楼上楼下两层，装修风格以黄色为主，很明亮，室内放着小桌子，小凳子，有点吃脏摊的感觉😊服务员很热情，服务态度也很好，又单独点了一些东西，可是不能使用会员了，这个很悲伤。味道还不错，人很多！ #辣炒花蛤# #烤鸡爪# #蔬菜卷# #鸡翅#
匿名用户,5.0,中了一回霸王餐，在十一放假前一个礼拜来了。人还是挺多，需要等位，等位可以嗑瓜子，服务还是不错的，等位半个小时吧，就进去了。屋里的小桌小凳子不是很舒服其实就是为了让食客快吃快走，毕竟人多嘛。先说这次点餐我最喜欢心管，劲道不塞牙；蛏子也好吃，很香；串都比较入味。小腰也不腥，素卷也在及格以上，肉类吃多了容易腻，点一些素菜烤蘑菇之类的可以解解腻。总体来说是很棒的一家店，以后也会过来吃。 #脆嫩心管#
匿名用户,4.0,还是那个味道，好吃。人也很多，需要排一会对。排队的时候有瓜子和小点心。特色的望京小腰，装修风格很有特色。各种串串都很好吃，生意很火爆。服务态度也很好。会经常光顾的 #望京小腰# #牛蹄筋# #弹板筋#
幸福永远伴随你我,4.0,我们到的时间有点早，刚五点多里面人已经很满了，正好有两个座位，我们找个一个地方坐下，疙瘩汤不管去哪都是必点的，上个品尝了一下，有点咸疙瘩熟的还不好就着急上来了，串的口感还不错上菜的速度很快，服务态度也很好！也是很赞的
纸鸢fly,5.0,五星好评，眼镜望京小腰必须点个赞，强烈推荐！眼镜望京小腰悠乐汇店，位置很好找，新世界百货一直往北，店面临街，餐位很多，都是黄色的小桌子小椅子，很可爱，人很多，很热闹，环境不错，菜品也很多，很好吃哈，服务很棒，体验非常棒！推荐
和1787505,5.0,今天来到眼镜望京小腰悠乐汇店拔草，位置很好找，新世界百货一直往北，如果地铁就是望京南下车同样出站后一直往北走5分钟就到了。店面临街，店堂比较大，餐位很多，都是黄色的小桌子小椅子，估计是主打年轻人怀旧风格吧，装修得比较简洁，同样以黄色调为主，上下2层，店里挺干净的，唯一美中不足就是空调不给力有点热。菜品种类比较多，各种荤素串，饮料酒水也比较丰富，还有海鲜烧烤，价格实惠。个人推荐望京小腰，2元1串，10串起点，非常的美味。羊排、肉串、肉筋等烤串也非常的到家，火候掌握得很好，上菜也比较快。整体非常满意，非常适合朋友小聚撸串首选。
FxF775343526,4.0,"味道很好，比较喜欢望京小腰，和羊肉串，牛板筋我个人比较喜欢，价格很亲民，算是北京最便宜的烤串了(当然，除了路边摊)，味道也不腻，标配饮料北冰洋，吃的太撑了
环境一般吧，朝着大马路，也不在居民区，不过人很多，生意很好，才刚六点多就已经排上队了，因为我们吃的那天，有人来团建吧
服务也不错，上菜挺快的，就是凳子都是这么矮，5:10分正式营业，别来太早哦"
RGJ776942651,4.0,在美团时常见到这家店的消息，有时在517吃货节，有时在秒杀，有时在霸王餐里。因此，一直想去看个究竟体验了一把。恰巧中了一个百元代金券，就晚饭后探店来了，三人一行点了些素串，包括：蔬菜卷、鱼豆腐、香菇、土豆片、豆角、馒头片、玉米、疙瘩汤等，整体感觉比较干净、咸淡适中、火候不错、味道很好，大人孩子都抢着吃。其中的孜然使用量恰到好处。同时，店面推销力度和人气超过预料，有上下两层楼和门外近50桌200人的接待量，竟然需要排队等位，值得品尝！
Zl240536955,2.0,初看菜单 嗯 都不贵 才一上来 傻眼 串太小了吧 幸亏不是花钱吃的 感觉有点贵 豆角有点生 蔬菜卷嚼不烂 茄子还不错 蒜泥很舍得放 很入味 生蚝也不错 因为是蒜味的 也尝不出来是不是新鲜 蒜很多 刚烤出来热热的很好吃……凳子挺低的 有种在室外吃烧烤的感觉……
wym王丽娜,4.0,在美团上中滴百元券呢，先感谢，后点评哦，望京小腰可谓是遍地开花，这又来了个眼镜望京小腰，不知他们有什么连带关系，又是一个火，去晚了还得等位置呢，悠乐汇店的望京小腰，有收费停车场，纯烤串系列，上菜快，服务一般，筷子收费一元，味道还算可以吧……
TTc761484472,5.0,他家的小腰好棒，而且速度超级快，蔬菜卷，鸡软骨，羊肉串，鸡胗都是按份上的，很是人性化，每份5串简单便捷，推荐的话就是小腰啦，确实不错…值得一来～很是爆满可能需要排位，我就排了半个多小时，但是也值了
匿名用户,2.0,位置很好找，就是悠乐汇下面。5点左右到店，已经很多人了，服务可以，上菜有点慢，凉菜挺快的，就是黄瓜不新鲜，吃起来不脆，是老黄瓜，豆腐丝可以，就是跟平时吃的豆腐皮不一样，想要果仁菠菜，没有，馒头片很好吃，强烈推荐，板筋刚上来就被吃完了，也忘记拍照了，肉串和肉筋有点分不出来，总体还行。就是等了一个小时才上，生意太火爆了，门口还专门放了瓜子和板凳用来等位，花生毛豆也不错，很入味，鸡翅有点小哦，9元一串，感觉不实在，总体还是可以的，有券的话更划算。
程轩君,3.0,感谢美团给予我这次霸王餐的体验机会，这家店地理位置在望京南和阜通地铁站中间，临街很好找。我是晚上六点半到已经排了十四桌。等位区在街边很热（热到不要不要的那种）。等位区的冰棍很贵，一个雪人冰棍6元。大概排了半小时的队，进到店里环境一般。声音嘈杂吵闹，因为人多烧烤上的速度上的也是有些断档。就餐区没有空调，没有空调，没有空调，只有一个小风扇在摇头吹风。下面重点评论下菜品，鱼豆腐很好吃，酱料真是很满足；羊肉串真是肉质老到不行；烤面包片和馒头片很不错，面包片有刷蜂蜜偏甜，馒头片撒精盐烤得外焦里嫩的也值得推荐；他们家的小腰，非常入味，烤得火候正好，还算做的比较正点；最后一道就是炒花蛤52元一份基本桌桌必点。
完个不123,5.0,首先要感谢大众点评的霸王餐给的机会，正好今天有空就去吃了。餐厅的位置比较好找，就在路边，招牌醒目；餐厅里很有吃烤串的气氛，人气比较火爆，幸好我们去的早才没有排队；点的烤串味道不错，很入味，上菜也很快，烤腰子没有一点异味，羊肉串肥瘦得当，尤其推荐金针菇。
Plr190367257,4.0,今日傍晚来到悠乐汇店，店面临街很好找。5点一开门人不太多，过一会就要开始等位。等位有瓜子。店里环境还可以，烤串味道很好，很劲道，肉很嫩。各种烤串品种很多。值得一提的疙瘩汤也很不错蛋花很多。
匿名用户,3.0,来了很多次，价格不便宜。。。。。。
匿名用户,5.0,非常好吃，位置好找，就在悠乐汇楼下，5点刚营业就去了，不用等位，可以微信点餐很方便，上菜快，小腰味道很好，很嫩，不腻，其他菜品味道也可以，鱼豆腐很好吃，服务态度很好，还会经常去的，赞，强烈推荐！！！！！
小公主米田,5.0,感谢大众点评和商家给我提供了一次享受美食的机会，晚上6点左右到的，已经是排了好长的队伍了，太火爆了，排队过程中有瓜子和各种小吃，给商家点赞，烧烤的味道很正宗，很好吃，分量也还可以，以后还会再光顾的，好评！
水景城堡,5.0,"位置很好找，跟着导航就能找到
【口味】味道很好！而且种类齐全
【环境】环境还行吧，有个大风扇，不知道有没有安空调，但是感觉没有太凉快。
【等位】去的时机很好，还有座位，一会儿人就多了，我结完帐出来的时候发现店外有一堆人坐着嗑瓜子等座位呢"
贝特兰斯,5.0,今天下班早去吃小腰 五点才营业 早到了十分钟 不用排队 人还是很多的 很多人都是提前选好等营业了去点餐 比较不开心的是 没有按进门顺序点餐 多等了一会 不过上菜速度真的很快 价格便宜味道还好 还会再来的 希望店家多加点主食 炒饭炒饼炒面的 主食只有疙瘩汤馒头片面包片 不是很尽兴 下次有时间再来
Bonnie0991,4.0,"【等位】可能我们去的时间比较早，周四下午快5点的时候，并没有等位。不过，我们要离开的时候，店内已经非常火爆了～
【口味】口味不错，烧烤都很新鲜。
【服务】服务员人数较多，有什么要求可以及时得到回应，服务员热情，干活利索～"
KdE627157706,3.0,板凳可以换成马扎，桌子可以换成五颜六色好区分，
匿名用户,3.0,环境一般，人好多，排队1小时，等上菜1小时，没有空调，环境很吵，不过也有氛围。点餐小票没有价格，有wifi却不告诉密码，熬2小时也是无聊，串超过20个就容易少2串，服务员不热情，人太多估计忙不过来吧，口味还行，价格适用，土豆片很好吃，推荐，其他一般，馒头片面包片不好吃，结账时还得留手机号，总的来说凑合，就是不会再去了等太久了
缡沫沫,4.0,周末去的，打电话告知去晚了会等位，五点左右过去正好有空位，去了没一会人就满了，可见人气很高。店里的桌子是矮桌矮凳，这种设计对夏天穿裙子的女生真的是困扰，串味道挺好的，但份量一般
匿名用户,5.0,服务员热情，烤串味道很棒，小腰真的名不虚传，没什么味道，两个人吃到撑，很不错的一家烧烤店，赞！
gq92,3.0,中了100元的代金券，特地来的。这家店店面不大，就在路边，位置很好找。肉串相比其他店要小很多，份量很小，但是味道挺好，酱味很足
Abowu小镇,4.0,带朋友来吃的，朋友特别喜欢，特别开心。
喵喵喵嗷呜嗷呜呜,5.0,很不错 排队人超级多 等了一个多小时 味道不错 有小时候的味道
Sharri_nn,3.0,有点咸，花蛤不错，其他东西分量太小。
Alsoran_1,1.0,一般般 没什么特色，upset，还等了40多分钟
RayBabyW,5.0,棒棒哒
RKD623856721,4.0,味道不错，偏贵，服务员也还好吧，等位有蚊子
pgr639884807,1.0,看到图片了吧！半公分的板筋串也是一公分大真是咋切出来的啊！味道一般分量这么少咋来的好评啊😊太失望😞
匿名用户,4.0,好吃，就是中途再点上得比较慢，味道不错
闪闪红星小Q,5.0,棒棒哒
eSI999282506,2.0,特别热，没空调没风扇，发前一直让发朋友圈打9折，发完后没想到吃完结账还要检查朋友圈，体验特别差，估计是人多就比较牛，没觉得多优秀，不会再去
Q咖413,3.0,凳子低吃的难受，要排队，烤的不如管氏
ahaoed,2.0,菜品量很小 而且上菜慢的不能行 环境还很一般
匿名用户,1.0,贵，肉基本烤不熟！晚上晚点去的，点啥啥没有。
paopao_lee,5.0,老客人，也是同事聚点，孩子也喜欢吃。离家近。
丘山秋意浓,5.0,好吃，不便宜，在北京朝阳区吃烧烤算是首选吧，肉串原味，炒海鲜好吃，喝多了
施可丰，撒可富,5.0,味道还不错，价格就是正常价。以后还会光顾的
遇我如初遇,5.0,超级好吃   名不虚传 以后有机会一定再来
烟雨慕歌,1.0,太冷，上菜太慢，吃了快一个小时，后来的都吃完了，我们的东西还没上齐全。服务态度则是糊弄人。
拒绝寒冷2012,4.0,味道可以，服务一般，用餐环境不舒服，椅子不舒服，屋子太冷～
riG198818883,5.0,味道一般，排队太多了，太贵了，板凳太低了！坐的非常不舒服！整体觉得很一般
jianpan0134,5.0,还行吧，听说很有名所以去的……
RKx757172950,5.0,服务灰常热情，不过他家的小腰确实不错而且氛围蛮火煲的
Ulu743415912,5.0,味道不错离家很近经常来，好吃😋
xiaomantou1981,4.0,生意火爆，一直有等位的，环境也很新颖，全是小桌。烤串像胶东口味，刷油烤撒干料，而不是北京抹酱的烤法，很喜欢，尤其推荐鸡脆骨，羊肉串，孟山原浆啤酒也很香醇。带鱼很一般。有机会还会去
Ohi591827315,5.0,计时开始可就是多久多久看法看哈等级低可大打击
匿名用户,5.0,都不错，就是价格有点小贵，值得去。
涅槃eason,5.0,还可以，比较有特色的烧烤了，哦耶
qDQ382884938,2.0,呵呵 慕名而来 真的一般 跟小区楼下烤的 差不多 味道感觉还没有我们小区的好吃 我和老公只是感慨 为啥这么🔥 呵呵 口味问题😇非常之一般 价格还是正常价格 不算贵 就是很普通的烤串 满大街都能烤出的味道 唯一印象深刻就是为啥这么🔥呢 
_qqczv1367133807,5.0,北京很有名的连锁店.不用多说.
haonico,2.0,串串一般，花哈亮点。串串真的很一般，有点失望
FjT149254606,5.0,非常好吃 在外面等位的人超级多 不过等得很值  去北京旅游慕名而来 现在还是念念不忘
77gys,3.0,小腰烤的一般，烤猪蹄很软烂，蔬菜卷不错，烤馒头片有些小，环境一般
jiandanshike,4.0,看到好评才慕名而去的，模仿的露天小桌凳的效果 但实际是在一个有顶的屋子里 不过整体还不错，特别推荐烤羊排和海鲜 超出正常水平 其他的就一般吧，那个一百多一炮的啤酒真难喝 一股放坏了的味道 燕京鲜啤还行 服务员极力推荐五十多1.5l的啤酒 没去尝 下次再说吧
ffan2005,3.0,快餐的装修，饭店的价格，偏贵！
ffan2005,3.0,味道还行，性价比差，价格太贵！
Ddd59599,4.0,口味很好，人很多提早排队，串小，上菜慢，好多次东西都上不全走人了
匿名用户,5.0,太棒了，吃了好几次，强烈推荐，每次排队好久
匿名用户,2.0,三个人没怎么吃太饱花了180大洋，没有酒水。1）凳子又小又高，桌子矮，吃着特难受，跟幼儿园的桌椅差不多。2）那串小的不能再小了，粘着竹签子一点点肉。非常没有性价比。3）服务员态度一般般，菜品很多都没有不说，有一部分是要5串或者10串起点。4）味道一般般，能接受！
谜一样的男人575,2.0,服务员说话都听不清 哎下次不去了
冯小鑫不怕黑,3.0,不错，为什么非要15字啊啊啊啊啊啊啊啊啊啊啊啊
pyL990989570,3.0,味道不错，尤其那个鱼头值得再来，价钱不贵
匿名用户,5.0,菜品棒棒的，只要周休我都会去吃一顿！
二货的菜鸟,5.0,味道好的不让说，尤其是辣炒花蛤……
匿名用户,3.0,味道不错，但就是烤串的量太少了
Zzj18610661621,4.0,人多！量大！味美！服务好！就是厕所有点远
GVp18600801228,5.0,自己口味偏淡，只是询问店里能不能调淡一点，结果店家给我们重新做了一个，太感动。服务也有礼貌很亲切。竹筒饭有特色。
王雪晴要养猫,1.0,非常差！非常差！非常差！座位都是矮桌子矮板凳，需要蹲坐着非常难受！店里音乐和人声简直要吵死！5元以下的串都要5串起点，特别霸王条款！看我们点的少，服务员居然说：我们家的串分量很小，只有花生米大小！我去你的这也好意思说出口！最后很生气就点的很少，两个人也花了70多，吃完感觉只有嘴里有肉味，胃里根本没感觉吃到什么！总之太差劲了，绝对不会再来了！
JOb807593097,3.0,小凳子坐着有些累，坐着舒服点就好了，点的串都很好吃，有机会会再去的。
lidi2417,4.0,味道不错，服务周到，离家近方便
小蠢若愚,2.0,味道尚可不过量比较小，椅子高桌子低坐着极其不舒服
帅悠悠,5.0,湖南儿媳表示味道很正宗，不错，很多当地特色菜品。值得再来
匿名用户,2.0,第一次去吃感觉还行，用了美团优惠买单。今天第二次去，死活不准美团买单了，说是有特价菜，不能享受其他优惠，但我点菜的时候可没人告诉我这事，感觉这家店太小家子气，优惠不起就明说嘛，还非得学人家搞团购，搞了团购又限制这限制那的。
不错不错888,3.0,味道还可以 人比较多 小腰不错
xacyxhxxq,2.0,总体评价还可以点餐方式比较特别。
小菜鸟,5.0,服务好，环境不错，上菜速度快，值得推荐
ly741223,5.0,菜入味·，下饭值得来，强烈堆荐
wqq490811432,5.0,味道很不错 后面都开始排队啦很好的一家店 吃得很舒服
匿名用户,5.0,环境很好，整体很有特色，推荐！
匿名用户,5.0,都很满意呢，菜品与服务都很好，菜品特别合口味，下次还会来光顾的。
ronaldhan,4.0,非常的吵，人在周末比较多，口味还不错
sshongxing,4.0,味道是不错，忘了说免辣或微辣，所以孩子吃还是说太辣啦
cindysun87,5.0,不错，挺好吃的，店内装修和菜品都挺有特色的。
SfF328720748,4.0,
jur129779812,5.0,
